imagePath,title,year,medium,description
Ehrlich_Josh_GIANT_HQ.png,Giant,2024,Copic on illustration board,40 by 60 inches. Winner of Silver award in Illustration West 63.
Dragon_HQ.png,Dragon Concept,2023,Digital Painting,Concept art for a personal project.
The_Exodus_FINAL.png,The Exodus,2023,Digital Painting,Narrative illustration depicting a journey.
Perst_Canyon_Sketch_Flip.png,Perst Canyon,2022,Digital Sketch,Environmental concept sketch.
pointing gun.png,Character Study,2023,Digital Painting,Character design exploration.
P2.png,Portrait Study,2022,Digital Painting,Character portrait study.
IMG_9312.PNG,Sketch Study,2022,Graphite on paper,Quick sketch from sketchbook.
IMG_9512 (1).jpg,Character Sketch,2022,Graphite on paper,Character exploration sketch.
IMG_1115.jpg,Figure Study,2022,Graphite on paper,Figure drawing study.
IMG_1579.PNG,Anatomy Study,2022,Graphite on paper,Anatomical study sketch.
image.png,Abstract Study,2024,Digital Art,An experimental piece exploring color and form.
siftmask.png,Mask Design,2023,Digital Painting,Character mask concept design.
6pnlfinlwithbrth5.png,Comic Panel,2023,Digital Art,Comic book panel illustration.

